entry,KCL_control_1,KCL_control_2,KCL_control_3,KCL_KCL_1,KCL_KCL_2,KCL_KCL_3,NaCl_control_1,NaCl_control_2,NaCl_control_3,NaCl_KCL_1,NaCl_KCL_2,NaCl_KCL_3,Sorb_control_1,Sorb_control_2,Sorb_control_3,Sorb_KCL_1,Sorb_KCL_2,Sorb_KCL_3,FC_kcl,FC_nacl,FC_sorb,log2_FC_kcl,log2_FC_nacl,log2_FC_sorb,pval_kcl,pval_nacl,pval_sorb,adj_pval_kcl,adj_pval_nacl,adj_pval_sorb,neg_log10_adj_pval_kcl,neg_log10_adj_pval_nacl,neg_log10_adj_pval_sorb,uniprot
G4NGZ4_MAGO7,294084.6666666667,303491,303435,268020,291078,300546.3333333333,296367,337572.3333333333,307486.3333333333,326778,244352.6666666667,278235.6666666667,257975,264295,243395.3333333333,212497.3333333333,224133.3333333333,210322,0.9592762865193534,0.9048716528322669,0.8237128920761055,-0.05998170114059577,-0.14421492031998082,-0.27978652611554855,0.24595333607321004,0.3176327180979579,0.0062706632217703175,0.5430216686408526,0.561918841660692,0.048447689326460236,0.2651828400549998,0.250326405363584,1.3147269314449659,G4NGZ4
G4MPT3_MAGO7,286267.6666666667,329514.3333333333,308925,284541.3333333333,309260.6666666667,320586.3333333333,320367,332505,326312,339915.3333333333,316528.6666666667,332766.3333333333,246171,246328.6666666667,225059.3333333333,285395,252058.6666666667,244163.3333333333,1.0010865636211594,1.019779638301176,1.0239169791188512,0.0015667289265881626,0.028257437416053747,0.03409874398134867,0.8442044963945592,0.6887325165427212,0.21421847388844215,0.9393920643798978,0.8530084235110759,0.39203525036020775,0.027153112888747923,0.06904668012636261,0.40667488106975525,G4MPT3
G4NAV1_MAGO7,206688.3333333333,245578,159779.3333333333,197560,245871.3333333333,226366.3333333333,218478.3333333333,245434.6666666667,234404,237317.3333333333,190201.6666666667,238885.6666666667,180475,179458,156985,184389,193233.3333333333,193328,1.0952061477425754,1.0124286843796748,1.076760764821481,0.13120245004010922,0.017820287932696872,0.1066977468692395,0.53639114803578,0.582011683079636,0.09355495231701517,0.7674191312578565,0.7789263635514408,0.23382158968682978,0.11496737832488758,0.10850359677525566,0.6311153911683276,G4NAV1
G4NA37_MAGO7,127801.6666666667,153321.3333333333,135003,170950,166201,199044.6666666667,259217,303672,283984.3333333333,323729.6666666667,213820.3333333333,344133,264394.6666666667,218277.6666666667,221936.6666666667,237019.6666666667,239868,226813.3333333333,1.2662681570039185,1.1399560773892459,1.067960829666121,0.3405829559616195,0.18897823829048274,0.09485873327755659,0.03493496362069232,0.7981829195718413,0.985185569478582,0.2385964218540118,0.9139063570172169,0.9907610395944767,0.6223360735772873,0.03909830176525667,0.004031079823192391,G4NA37
G4MKR0_MAGO7,232656.3333333333,298722,293938.3333333333,281240,284235.6666666667,289502.6666666667,267424.3333333333,300960.3333333333,292419.3333333333,277585,304331,300658.6666666667,148369.3333333333,187636.3333333333,266758.6666666667,272931.6666666667,194810,207251.3333333333,0.9669908087297223,1.0281764315628927,1.104537323084193,-0.04842591797021807,0.040087847314629256,0.14344216918546634,0.6681659550450059,0.6088123060264399,0.6006666388236157,0.8379914686189448,0.7956931530777793,0.7371440726447273,0.07676040279045826,0.09925437901738247,0.13244762226354975,G4MKR0
G4MNZ8_MAGO7,127076.3333333333,122414.3333333333,128574,130354,130262.3333333333,135792,134803,148009,134306.3333333333,124826.6666666667,120895,131456.3333333333,129558.6666666667,121345.3333333333,131762.6666666667,133368.6666666667,165133.6666666667,143279.3333333333,1.0257928961332954,0.9259932395174195,1.105903117249328,0.03673948544643594,-0.11092643417754854,0.14522500366833005,0.07869288544869844,0.07076666099576248,0.11751040299777896,0.32157956227170886,0.24864945775923053,0.26923835938001284,0.49271156028013724,0.604412483515733,0.5698630645065345,G4MNZ8
G4MR23_MAGO7,135654.3333333333,127341.6666666667,131753,127873.6666666667,110843.6666666667,116625.6666666667,112754.3333333333,103376.3333333333,107694,88012.3333333333,106976,91596.3333333333,137312,142068,157449.6666666667,144802,141592.3333333333,148973.6666666667,0.8851841450795557,0.850524015574993,1.019244305543824,-0.17595048425899917,-0.2335761221829586,0.027499896599200248,0.07697087675368434,0.125172840746728,0.9433411673652063,0.3173730671624519,0.34197296767559376,0.970139880644111,0.4984299310122352,0.46600822275474957,0.01316564200999808,G4MR23
G4MNH8_MAGO7,308766.3333333333,442339,405464,351419,361339,367595.3333333333,479164.3333333333,480823,443558,417355.3333333333,328877.3333333333,429154.6666666667,340858.542461,351369,364128.3333333333,295063,345042.3333333333,282341.3333333333,0.891174062308861,0.8710066762064232,0.8397525108931067,-0.16622085135094783,-0.19924431786232072,-0.251963890706103,0.5608364089132533,0.08826630448843378,0.09259378158695951,0.7785954115232382,0.2864573460797562,0.23338886507805254,0.10868816002706559,0.5429400359698107,0.6319198678729734,G4MNH8
G4MV32_MAGO7,258386.3333333333,273612.3333333333,275537,289922.6666666667,304716.3333333333,309466,192603.6666666667,251339.3333333333,228620.6666666667,240407.6666666667,215736.6666666667,239897,262036.3333333333,248130.3333333333,225025.3333333333,212047.3333333333,218179.3333333333,202489.3333333333,1.1136790861035748,1.0493233332652923,0.854580455701372,0.15533357057201952,0.0694592912830905,-0.2267117720002511,0.01583924240573859,0.7006301380599189,0.043471882373632274,0.17128672755359156,0.8590544098274195,0.1479224692210328,0.7662762877849467,0.06597932843945373,0.8299658522537052,G4MV32
G4NC88_MAGO7,146067.3333333333,154264.6666666667,155936.6666666667,170759.6666666667,151899.3333333333,180443.6666666667,193422,200135.6666666667,184876,202438.6666666667,148093,195299.6666666667,152330,136970,140925.6666666667,152499.3333333333,152167.3333333333,160169.3333333333,1.1069266239406734,1.009707616851582,1.082126038076811,0.14655959178031622,0.013937589228577511,0.11386854345178418,0.15493067840271135,0.5706128216494504,0.0948573969443016,0.4339091034077933,0.7691307551679853,0.23608066438378705,0.3626012382821777,0.11399982220022928,0.6269395813045787,G4NC88
G4N2G1_MAGO7,150468.345555,215012.8095073333,179195.8147413333,165899.3561466667,173185.987867,179593.9451353333,231998.3921016667,220400.1540386667,207094.5692383333,233765.663608,171014.447787,216360.313606,180952.8766536667,175178.037516,180662.2704396667,145576,205738.8692403333,166312.6666666667,0.966462236392025,0.9816704282703997,0.9205722161130918,-0.04921473330893929,-0.02668933847867578,-0.1193971937993169,0.6733159617856805,0.5582015430046463,0.7370275491591016,0.842486349243448,0.762165237940104,0.8427914767411347,0.07443712724745252,0.11795086311445598,0.07427986511781776,G4N2G1
G4N6C5_MAGO7,194151,173033,176028.6666666667,189781,184378.6666666667,196916.3333333333,172334.3333333333,167731,173176,162842.3333333333,136099.3333333333,192459.3333333333,121943.3333333333,143686,155102,202341,137976.3333333333,130704.6666666667,1.0781255325837078,0.9449210159322092,0.9602628880568275,0.10852516945590523,-0.08173435252211973,-0.05849867303714469,0.28494558422573757,0.6794244407797706,0.5354255019295857,0.5890387827798627,0.846479846797713,0.6879617620599232,0.22985610997895614,0.07238337722277782,0.1624356998282589,G4N6C5
G4MR91_MAGO7,36759.5,36491,40639,62696,40632.6666666667,42796.3333333333,30820.6666666667,47046,44905.3333333333,40203,64709,80154.5,60151,73975,96221.5,69384.5,57849.3333333333,64365,1.1642251209437915,1.4410092342409226,0.87009124704292,0.21937005263320758,0.527079580586151,-0.20076138961174186,0.20722646750187446,0.1772792342499797,0.3063930243551494,0.49900133374451366,0.40467156356129175,0.4945144453034519,0.30189829358080156,0.3928973125896989,0.30582101766852154,G4MR91
G4MY14_MAGO7,378628.3333333333,386749.3333333333,238622.6666666667,345053.6666666667,347036.3333333333,412125.6666666667,391527,400127.3333333333,401539,368950.3333333333,397155.3333333333,384661,320613.6666666667,311478.6666666667,288259.6666666667,283630,322265,275620.3333333333,0.9165619759042508,0.9613464713732796,0.910592057669011,-0.12569565895938997,-0.05687161971846776,-0.13512321889451742,0.5619310364773895,0.18091001374632795,0.49642872944623606,0.7785954115232382,0.4075043743982943,0.6577067290624162,0.10868816002706559,0.3898677249194791,0.1819677148083338,G4MY14
G4NAV2_MAGO7,190090,190704,209030.6666666667,196364.3333333333,202338,205906.3333333333,167150.6666666667,169667.3333333333,175617.6666666667,155768.6666666667,157676,163513.3333333333,213178.6666666667,194843,182221.3333333333,189015.6666666667,230671.6666666667,223626.6666666667,1.0610055373772969,0.9293244427330346,1.1477274865746612,0.08543218568332721,-0.1057457413293626,0.1987801329209861,0.5092664796192874,0.025981997005712024,0.32284984760518215,0.7535273513359153,0.14622045002583675,0.5104129708135309,0.12290097915734388,0.8349918837920693,0.2920782976858641,G4NAV2
G4N7N7_MAGO7,138785,102229,147666.3333333333,169998.6666666667,94853,112189,97137.6666666667,133323.3333333333,129010,136626.3333333333,136108,132799,171545.3333333333,167850,166487.6666666667,174557.3333333333,183696.3333333333,180998,0.8083654573621069,1.0550189907759089,1.0783318439082514,-0.30692042032102884,0.07726896827050611,0.10880121880327573,0.8912266488965515,0.2518445389422375,0.023086532179217564,0.9580686475637927,0.48730006233508866,0.10129572267276447,0.018603371725176322,0.3122035330640506,0.9944088928315773,G4N7N7
G4NI27_MAGO7,225594.3333333333,220325,215530,186438,200393.6666666667,226891.3333333333,281092.3333333333,280816.6666666667,282567.3333333333,244785.3333333333,219662.3333333333,252194,210041,200358.6666666667,197893,196870.6666666667,201983,167148,0.9095366693142707,0.8708360360830427,0.9825912197459223,-0.13679629145654595,-0.1995269859342751,-0.02533674739787288,0.26268489497771486,0.012427828083060283,0.28662282530075983,0.5655160002617874,0.10659252548163242,0.47072898388119244,0.24755510298061245,0.9722732479913679,0.3272290603461819,G4NI27
G5EHR9_MAGO7,169595.6666666667,165744,170897.3333333333,153602,154956,194121,181851.6666666667,178698.3333333333,199064.3333333333,175201.3333333333,157215,163359,122574.3333333333,105647.6666666667,143365,87754.6666666667,97004,80008,0.9136790051632607,0.8983090614145227,0.7159301974584135,-0.1302406899952764,-0.15471620820716211,-0.4821091619923728,0.933609953785153,0.06118966521451848,0.04087798066636617,0.9757520697546217,0.22624104717360097,0.14271153564662611,0.010660518825030127,0.6454285977140645,0.8455409206121165,G5EHR9
